speaker,transcript,sentiment,intonation,pitch range,start_time,end_time,chunk
Agent,"Selamat sore dengan Vira, bagaimana Ibu membantu?",neutral,falling,middle,0.0,2.22,1
Customer,"Iya Mbak Vira, Mbak Vira",neutral,falling,middle,2.22,3.39,1
Agent,"Iya Ibu, eh saya tuh dapat eh surat, katanya tuh saya eh terdaftar nama produknya itu Kredit Protekto",neutral,falling,middle,3.39,7.25,1
Customer,Iya,neutral,falling,middle,7.25,7.64,1
Agent,Eh itu nyambungnya ke mana sih Mbak Kredit Protekto itu?,neutral,rising,middle,7.64,9.53,1
Agent,"Baik, kalau untuk Kredit Protekto itu merupakan asuransi yang melindungi kartu kredit nasabah Ibu. Jadi, semisal eh ada hal yang tidak diinginkan seperti meninggal atau pun sakit, itu nanti bisa dikover jika nasabah ada tagihan seperti itu.",neutral,falling,middle,9.53,18.29,1
Customer,"Oh gitu, tapi saya enggak pernah pakai kartu kredit Mbak.",neutral,falling,middle,18.29,21.74,1
Agent,"Baik, itu ditagihnya mesti berarti tiap bulan ya, saya aduh enggak ngerti lagi.",neutral,falling,middle,21.74,25.59,1
Agent,"Iya, jika memang ada tagihan itu eh nanti akan dikenakan premi. Namun, Ibu tidak perlu khawatir, kalau eh tidak ada tagihan tidak akan dikenakan premi seperti itu.",neutral,falling,middle,25.59,33.14,1
Customer,Oh gitu.,neutral,falling,middle,33.14,33.73,1
Agent,Betul.,neutral,falling,middle,33.73,34.29,1
Customer,"Ah, tapi saya enggak pernah pakai Mbak, saya takut tiba-tiba ditagih, ntar tiba-tiba berubah lagi jadi ada tagihan bulanan. Dibatalin aja deh Mbak Kredit Protekto itu.",negative,falling,middle,34.29,44.57,1
silence,,neutral,none,none,44.57,45.09,1
Agent,"Proteksi, ya?",neutral,rising,middle,0.0,0.6,2
Customer,"Baik, apakah tidak sayang, Bu? Karena ini kan nanti eh melindungi juga kartu kredit Ibu seperti itu, Bu, untuk asuransi juga.",neutral,falling,middle,0.6,3.1,2
