speaker,transcript,sentiment,intonation,pitch range,start_time,end_time,chunk
Agent,"Selamat sore dengan Grasella, bagaimana saya bisa membantu?",neutral,falling,middle,0.0,2.06,1
Customer,Selamat sore,neutral,falling,middle,2.06,2.65,1
Agent,"Sore, silakan, apa yang bisa saya bantu?",neutral,falling,middle,2.65,3.6,1
Customer,"Mbak, eh kalau saya minta dibantu blokir kartu debit saya, hilang nih, Mbak",neutral,falling,middle,3.6,6.36,1
Agent,"Begitu ya, Pak, dengan Bapak siapa saya berbicara?",neutral,falling,middle,6.36,7.7,1
Customer,"Saya dengan Doni, Mbak",neutral,falling,middle,7.7,8.44,1
Agent,Bapak Doni?,neutral,rising,middle,8.44,8.99,1
Agent,"Baik, untuk pemblokiran kartu debit, Bapak masih mengingat nomor rekeningnya?",neutral,falling,middle,8.99,11.56,1
Customer,"Rekeningnya, ada, kayaknya kartunya saya masih ada nih",neutral,falling,middle,11.56,13.27,1
Agent,"Boleh, silakan",neutral,falling,middle,13.27,13.73,1
Customer,5336,neutral,falling,middle,13.73,14.2,1
Agent,Iya,neutral,falling,middle,14.2,14.4,1
Customer,4000,neutral,falling,middle,14.4,14.87,1
Agent,Iya,neutral,falling,middle,14.87,15.06,1
Customer,1224,neutral,falling,middle,15.06,15.54,1
Agent,Iya,neutral,falling,middle,15.54,15.73,1
Customer,1995,neutral,falling,middle,15.73,16.2,1
Agent,Saya ulang kembali 5336 4000 1224 1995,neutral,falling,middle,16.2,18.39,1
Customer,Iya,neutral,falling,middle,18.39,18.58,1
Agent,"Baik, kalau kami proseskan data terlebih dahulu, mohon ditunggu sebentar ya, Pak",neutral,falling,middle,18.58,21.66,1
Customer,Iya iya,neutral,falling,middle,21.66,22.24,1
Customer,"Agak cepat ya, Mbak, ini kartunya soalnya eh takut ada pemakaian nih",negative,falling,middle,22.24,25.54,1
Agent,"Baik, sebentar ya, Pak",neutral,falling,middle,25.54,26.63,1
silence,,neutral,none,none,26.63,29.35,1
Agent,Bapak Doni terima kasih atas kesabarannya menunggu,neutral,falling,middle,0.0,1.64,2
Agent,Perkonfirmasi hari ini dengan saya Gracella tanggal 8 Januari 2025,neutral,falling,middle,1.64,3.68,2
Agent,melakukan pemblokiran kartu debit Bapak Doni karena hilang,neutral,falling,middle,3.68,5.8,2
Agent,untuk transaksi yang terjadi sebelum pemblokiran dilakukan merupakan tanggung jawab nasabah,neutral,falling,middle,5.8,9.16,2
silence,,neutral,none,none,9.16,9.84,2
Customer,Ee Mbak Mbak ee terakhir itu kan saya transaksi 3.467.750,neutral,falling,middle,9.84,13.04,2
Agent,Iya,neutral,falling,middle,13.04,13.4,2
Customer,Habis itu ada transaksi lagi enggak,neutral,rising,middle,13.4,14.8,2
Agent,Baik untuk pengecekan transaksi saya tanyakan beberapa hal,neutral,falling,middle,14.8,17.2,2
Agent,Silakan disebutkan tanggal lahir,neutral,falling,middle,17.2,18.6,2
Customer,9 Januari 1988,neutral,falling,middle,18.6,20.44,2
Agent,9 Januari 1988,neutral,falling,middle,20.44,22.04,2
Agent,Apakah Bapak memiliki jenis rekening lain di sini di BNI selain yang disebutkan tadi,neutral,falling,middle,22.04,25.44,2
Customer,Satu Mbak,neutral,falling,middle,25.44,26.24,2
Agent,Nominal transaksi terakhir tadi Bapak sebutkan 3.467.750 rupiah ya,neutral,rising,middle,26.24,29.64,2
Customer,Iya 3.467.750,neutral,falling,middle,29.64,31.48,2
Agent,Baik selangkan pemeriksaan mohon ditunggu ya Pak,neutral,falling,middle,31.48,34.0,2
silence,,neutral,none,none,0.0,0.27,3
Agent,Bapak Doni terima kasih atas kesabaran yang menunggu untuk transaksi yang Bapak sebutkan di 3 juta 467.75 rupiah ini ada Pak transaksinya di tanggal 8 Januari,neutral,falling,middle,0.27,4.01,3
Customer,Itu ya iya,neutral,falling,middle,4.01,4.74,3
Agent,Ada ya jadi setelah itu enggak ada transaksi lagi ya Pak,neutral,falling,middle,4.74,6.11,3
Customer,Setelah itu tidak ada transaksi,neutral,falling,middle,6.11,7.12,3
Agent,Iya Mbak sekalian ini eh blokir Otomotif saya Mbak ini hilang juga handphone saya,neutral,falling,middle,7.12,9.78,3
Agent,Baik untuk jadi Otomotifnya akan saya bantu pemblokiran sebelumnya Otomotifnya aktif tidak Pak kami bantu pemblokiran juga untuk keamanan,neutral,falling,middle,9.78,14.64,3
Customer,Iya Mbak saya pakai Otomotif saja Otomotif saja ya,neutral,falling,middle,14.64,17.18,3
Agent,Baik mohon ditunggu sebentar ya Pak,neutral,falling,middle,17.18,18.86,3
silence,,neutral,none,none,18.86,20.01,3
Agent,Bapak Doni terima kasih atas kesabaran yang menunggu saya konfirmasi kembali hari ini dengan saya Grace Ella tanggal 8 Januari 2025 melakukan pemblokiran Otomotif Bapak Doni,neutral,falling,middle,20.01,28.34,3
