speaker,transcript,sentiment,intonation,pitch range,start_time,end_time,chunk
Customer,Halo Mbak,neutral,falling,middle,0.0,0.5,1
Agent,Halo,neutral,falling,middle,0.5,0.8,1
Agent,Selamat siang dengan Vira bagaimana terus membantu,neutral,falling,middle,0.8,2.1,1
Customer,Iya Halo halo halo Halo Mbak Vira Mbak Vira eh minta tolong dong diblokir dong kartu saya Mbak,neutral,rising,middle,2.1,5.8,1
Agent,Baik nomor satunya berapa Ibu,neutral,falling,middle,5.8,7.0,1
Customer,Eh nomor kartunya ini 5336,neutral,falling,middle,7.0,8.2,1
Customer,Iya,neutral,falling,middle,8.2,8.5,1
Customer,4000,neutral,falling,middle,8.5,9.0,1
Customer,4400,neutral,falling,middle,9.0,9.5,1
Customer,4000,neutral,falling,middle,9.5,10.0,1
Customer,4000,neutral,falling,middle,10.0,10.5,1
Customer,1224,neutral,falling,middle,10.5,11.0,1
Customer,1224,neutral,falling,middle,11.0,11.5,1
Customer,1995,neutral,falling,middle,11.5,12.0,1
Customer,1995,neutral,falling,middle,12.0,12.5,1
Agent,Dengan Ibu siapa saya berbicara,neutral,falling,middle,12.5,13.8,1
Customer,Dengan Nina Mbak,neutral,falling,middle,13.8,14.8,1
Agent,Ibu Nina ya,neutral,falling,middle,14.8,15.7,1
Customer,Iya eh sudah dong Mbak aduh,negative,falling,middle,15.7,17.2,1
Agent,Ya mau diitung dulu Ibu,neutral,falling,middle,17.2,18.3,1
Customer,Hilang nih kartu saya,negative,falling,middle,18.3,19.3,1
Agent,Baik hilang Ibu di Indonesia atau di luar negeri,neutral,falling,middle,19.3,20.9,1
Customer,Heeh ini lagi di luar negeri Mbak,neutral,falling,middle,20.9,22.6,1
Agent,Baik mau diitung dulu Ibu,neutral,falling,middle,22.6,23.9,1
Customer,Heeh,neutral,falling,middle,23.9,24.4,1
silence,,neutral,none,none,24.4,27.0,1
Customer,Ay Mbak jangan lama-lama Mbak nanti ada urusan sih,neutral,rising,middle,27.0,29.4,1
Agent,Sabar Ibu sebentar lagi dilakukan,neutral,falling,middle,29.4,31.2,1
Agent,Lakukan analisis,neutral,falling,middle,31.2,32.2,1
Agent,Pemblokiran,neutral,normal,middle,0.0,0.4,2
Customer,"Ibu Nina, terima kasih atas kesediaan menunggu. Saat ini eh untuk kartunya sudah saya lakukan pemblokiran ya Ibu. Untuk transaksi sebelum pemblokiran akan tetap menjadi tanggung jawab Ibu Nina ya.",neutral,normal,middle,0.4,5.7,2
Customer,"Aduh, dicek dulu Mbak transaksi saya ini. Aduh, ini transaksinya yang terakhir saya lakukan itu 34.677.750.",neutral,normal,middle,5.7,12.5,2
Agent,Iya.,neutral,normal,middle,12.5,12.9,2
Customer,34.677.750 Ibu. Di mana Ibu?,neutral,normal,middle,12.9,16.3,2
Agent,Iya.,neutral,normal,middle,16.3,16.6,2
Customer,Di ini eh dunia belanja.,neutral,normal,middle,16.6,19.8,2
Agent,"Saya cek terlebih dahulu Ibu, mohon ditunggu. Sebelumnya untuk verifikasi data saya tanyakan beberapa hal terlebih dahulu. Nama lengkap Ibu kandung?",neutral,normal,middle,19.8,27.5,2
Customer,Eh Maria.,neutral,normal,middle,27.5,29.2,2
Agent,Nomor telepon Ibu yang terdaftar?,neutral,normal,middle,29.2,31.8,2
Customer,08123456,neutral,normal,middle,31.8,34.2,2
Agent,Iya.,neutral,normal,middle,34.2,34.6,2
Customer,Iya,neutral,normal,middle,0.0,0.2,3
Customer,789,neutral,normal,middle,0.3,0.6,3
Agent,789,neutral,normal,middle,0.7,1.0,3
Agent,Heeh,neutral,normal,middle,1.1,1.4,3
silence,,neutral,none,none,1.4,2.6,3
Customer,Sudah bisa belum Mbak kebuka?,neutral,rising,middle,2.6,3.6,3
Agent,"Iya, mohon ditunggu Ibu, masih dalam pengecekan",neutral,normal,middle,3.7,5.0,3
Customer,Aduh,negative,normal,middle,5.1,5.4,3
silence,,neutral,none,none,5.4,6.1,3
Customer,Kalau ada transaksi lain itu bukan transaksi saya loh Mbak,negative,normal,middle,6.1,7.8,3
Agent,Nggak mohon ditunggu Ibu,neutral,normal,middle,7.9,8.8,3
silence,,neutral,none,none,8.8,10.2,3
Customer,"Ibu, nih",neutral,normal,middle,10.2,10.7,3
silence,,neutral,none,none,10.7,11.2,3
Agent,"Nah, terima kasih atas kesabaran menunggu. Ini untuk transaksi terakhir saya cek memang sudah betul ya Ibu, nominalnya Rp3.467.750 di dunia belanja",positive,normal,middle,11.2,17.5,3
Customer,Dunia belanja oke,neutral,normal,middle,17.6,18.3,3
Agent,"Iya, betul. Setelah itu jika saya lakukan pengecekan sudah tidak ada transaksi kembali ya Ibu",neutral,normal,middle,18.4,21.4,3
Customer,"Oh, benar ya, sudah nggak ada ya?",neutral,rising,middle,21.5,22.7,3
Agent,"Iya, betul",neutral,normal,middle,22.8,23.5,3
Customer,"Oke, Mbak sama ini dong, aduh saya takut banget ini kalau kartu debit saya ilang eh otomobil saya juga diblokir juga deh",negative,normal,middle,23.6,29.2,3
Agent,Blokir otomobil saya?,neutral,rising,middle,29.3,30.2,3
Customer,Saya cek dulu,neutral,normal,middle,30.3,31.0,3
Customer,"Ibu, mau saya Ibu.",neutral,falling,middle,0.0,0.7,4
Agent,Hee.,neutral,falling,middle,0.7,0.9,4
Customer,"Ibu Rina, saya konfirmasi kan untuk pemblokiran otomotif sudah saya lakukan ya Ibu. Saat ini untuk otomotifnya sudah tidak aktif.",neutral,falling,middle,0.9,4.3,4
Agent,"Hee, iya.",neutral,falling,middle,4.3,4.7,4
Customer,"Benar ya? Karena saya enggak mau ada transaksi lho ya. Kalau ada transaksi lagi, itu bukan punya saya. Dan saya enggak mau, enggak mau, eh, duit saya hilang gara-gara itu ya.",negative,falling,middle,4.7,10.6,4
Agent,Iya.,neutral,falling,middle,10.6,10.9,4
Customer,Ada beberapa,neutral,falling,middle,10.9,11.4,4
Agent,"Baik Ibu, di sini sudah saya pastikan ya Ibu untuk pemblokirannya sudah saya proses dan tidak akan ada transaksi kembali yang baru seperti itu.",neutral,falling,middle,11.4,18.6,4
Customer,"Benar ya? Berarti, iya.",neutral,falling,middle,18.6,19.7,4
Customer,"Nanti kalau saya ada transaksi, saya harus lapor ke mana?",neutral,rising,middle,19.7,22.6,4
Agent,Untuk pelaporan Ibu bisa langsung menghubungi kami ya.,neutral,falling,middle,22.6,26.6,4
Customer,"Benar ya Mbak? Kalau misalkan dari kamu enggak bisa menyelesaikan masalah saya, nanti saya bisa lapor ke OJK ya?",neutral,rising,middle,26.6,33.6,4
Agent,"Iya, baik Ibu. Nanti silakan bisa hubungi kami kembali ya. Seperti itu.",neutral,falling,middle,33.6,38.8,4
Customer,Oke Ibu.,neutral,falling,middle,38.8,39.8,4
silence,,neutral,none,none,39.8,40.5,4
