speaker,transcript,sentiment,intonation,pitch range,start_time,end_time,chunk
Agent,"Selamat sore dengan Grasela, bagaimana saya bisa membantu?",neutral,falling,middle,0.0,2.14,1
Customer,"Ya, selamat sore Mbak Grasela, ini lho Mbak, saya terima SMS ada transaksi kartu kredit, ini saya enggak ngerasa transaksi ini gimana ya Mbak?",negative,rising,middle,2.14,9.32,1
Agent,Dengan Bapak siapa yang berbicara?,neutral,falling,middle,9.32,11.2,1
Customer,Saya dengan Doni Mbak,neutral,falling,middle,11.2,12.92,1
Agent,"Bapak Doni, silakan sebutkan untuk nomor kartu kreditnya Pak",neutral,falling,middle,12.92,17.12,1
Customer,Kartu kreditnya 5244,neutral,falling,middle,17.12,19.32,1
Agent,Iya,neutral,falling,middle,19.32,19.8,1
Customer,2600,neutral,falling,middle,19.8,21.2,1
Agent,Iya,neutral,falling,middle,21.2,21.68,1
Customer,5160,neutral,falling,middle,21.68,23.04,1
Agent,Iya,neutral,falling,middle,23.04,23.44,1
Customer,9332,neutral,falling,middle,23.44,24.8,1
Agent,5244 2600,neutral,falling,middle,24.8,27.2,1
Customer,Iya,neutral,falling,middle,27.2,27.6,1
Agent,5160 9332,neutral,falling,middle,27.6,29.6,1
Customer,Iya,neutral,falling,middle,29.6,30.0,1
Agent,PIN ATM-nya masih diingat Pak namun jangan disebutkan,neutral,falling,middle,30.0,35.2,1
Customer,Ingat ingat ingat,neutral,falling,middle,35.2,37.2,1
Agent,Saya alihkan ke sistem silakan nanti ditekan PIN kartu kreditnya diakhiri dengan tanda pagar ya Pak,neutral,falling,middle,37.2,45.6,1
Customer,Iya,neutral,falling,middle,45.6,46.0,1
Agent,Saya alihkan,neutral,falling,middle,46.0,47.6,1
silence,,neutral,none,none,47.6,51.2,1
Agent,Terima kasih untuk transaksinya di tanggal berapa?,neutral,falling,middle,51.2,55.6,1
Customer,Papa,neutral,normal,none,0.0,0.4,2
Agent,Ini kayaknya hari ini tadi nih eh 24.500.750,neutral,normal,none,0.4,2.2,2
Customer,24.500.750 rupiah ya?,neutral,rising,none,2.2,3.4,2
Agent,Iya,neutral,normal,none,3.4,3.7,2
Customer,Di merchant apa?,neutral,normal,none,3.7,4.4,2
Agent,Electronic City,neutral,normal,none,4.4,5.1,2
Customer,Di Electronic City,neutral,normal,none,5.1,5.8,2
Customer,Silakan pemeriksaan mohon ditunggu ya Pak,neutral,normal,none,5.8,7.4,2
silence,,neutral,none,none,7.4,8.3,2
Agent,"Bapak, doni terima kasih atas kesabaran yang menunggu",neutral,normal,none,8.3,10.5,2
Agent,Ini jika dilakukan pemeriksaan memang ada transaksi di 24.500.750 rupiah,neutral,normal,none,10.5,13.9,2
Agent,"Jika misalnya Bapak tidak merasa melakukan transaksi tersebut, ini saya bantu ajukan untuk laporan sanggahan transaksi terlebih dahulu",neutral,normal,none,13.9,18.7,2
Agent,Akan saya kirimkan form untuk detil sanggahan transaksinya ke alamat email,neutral,normal,none,18.7,22.2,2
Agent,Silakan disebutkan alamat emailnya Pak,neutral,normal,none,22.2,24.0,2
silence,,neutral,none,none,24.0,25.0,2
Customer,"Eh, doni@gmail.com",neutral,normal,none,25.0,26.9,2
Agent,doni@gmail.com?,neutral,rising,none,26.9,28.0,2
Customer,Iya,neutral,normal,none,28.0,28.4,2
Agent,"Baik, sudah saya kirimkan boleh dicek terlebih dahulu apakah sudah diterima",neutral,normal,none,28.4,31.3,2
Customer,terima,neutral,falling,middle,0.0,0.3,3
Agent,"Ya, sudah diterima ya. Nanti silakan di isi terlebih dahulu untuk dari form tanggan transaksi yang kami kirimkan. Nanti silakan dikirim kembali ke alamat email kami atau di reply saja. Nah nanti untuk dari proses selanjutnya kami sampaikan terlebih dahulu terkait kami ya Pak. Karena jika selaras memang transaksi tersebut tidak dilakukan oleh Bapak langsung nanti akan dilakukan investigasi terlebih dahulu.",neutral,normal,middle,0.4,12.5,3
Customer,Iya oke Mbak,neutral,falling,middle,12.6,13.5,3
Agent,Baik. Ini saya buat kan laporannya terlebih dahulu. Mohon ditunggu sebentar ya.,neutral,normal,middle,13.6,17.3,3
Customer,Iya,neutral,falling,middle,17.4,17.7,3
silence,,neutral,none,none,17.7,23.3,3
Customer,Saya Mbak eh ini kayaknya saya juga ada sanggahan di kartu debitnya deh Mbak.,neutral,normal,middle,23.3,28.7,3
Agent,Iya,neutral,falling,middle,28.8,29.2,3
Customer,Ini saya enggak eh terima SMS ada di kartu debit saya juga nih.,neutral,normal,middle,29.3,34.5,3
Agent,Begitu. Nomor kartu debitnya silakan disebutkan.,neutral,normal,middle,34.6,38.5,3
Customer,Nomor kartu debitnya 5336,neutral,falling,middle,0.0,1.04,4
Agent,Iya,neutral,falling,middle,1.04,1.36,4
Customer,6543,neutral,falling,middle,1.36,1.84,4
Agent,Iya,neutral,falling,middle,1.84,2.08,4
Customer,6112,neutral,falling,middle,2.08,2.6,4
Agent,Iya,neutral,falling,middle,2.6,2.84,4
Customer,8214,neutral,falling,middle,2.84,3.36,4
silence,,neutral,none,none,3.36,3.72,4
Agent,5336 6543 6112 8214,neutral,falling,middle,3.72,4.8,4
Customer,Iya,neutral,falling,middle,4.8,5.04,4
silence,,neutral,none,none,5.04,5.36,4
Agent,Ini yang kartu debit nih Pak,neutral,falling,middle,5.36,6.04,4
Customer,Betul kartu debit ya,neutral,rising,middle,6.04,6.6,4
Agent,PIN ATM-nya masih diingat tidak Pak,neutral,falling,middle,6.6,7.6,4
Customer,Masih,neutral,falling,middle,7.6,7.84,4
