speaker,transcript,sentiment,intonation,pitch range,start_time,end_time,chunk
Agent,"Selamat sore dengan Fira, baik, mau dibantu?",neutral,rising,middle,0.0,1.4,1
Customer,"Iya, selamat sore, Mbak.",neutral,falling,middle,1.4,2.5,1
Agent,"Sore, Ibu, ada yang eh, perlu apa yang bisa saya bantu?",neutral,rising,middle,2.5,4.1,1
Customer,"Eh, Mbak Fira, saya kan punya deposito ya.",neutral,falling,middle,4.1,5.8,1
Agent,"Iya, Ibu.",neutral,falling,middle,5.8,6.2,1
Customer,"Eh, saya rencananya tuh mau cairin deposito saya.",neutral,falling,middle,6.2,8.3,1
Agent,Iya.,neutral,falling,middle,8.3,8.6,1
Agent,"Ya, itu gimana ya ketentuannya ya?",neutral,rising,middle,8.6,10.0,1
Agent,"Baik, dengan Ibu siapa saya berbicara?",neutral,rising,middle,10.0,11.3,1
Customer,Saya dengan Lina.,neutral,falling,middle,11.3,12.2,1
Agent,Boleh disebutkan nomor KTP-nya Ibu?,neutral,rising,middle,12.2,13.6,1
Customer,Nomor KTP-nya di 3323.,neutral,falling,middle,13.6,15.4,1
Agent,Iya.,neutral,falling,middle,15.4,15.7,1
Customer,0423.,neutral,falling,middle,15.7,16.3,1
Agent,Iya.,neutral,falling,middle,16.3,16.6,1
Customer,0199.,neutral,falling,middle,16.6,17.2,1
Agent,Iya.,neutral,falling,middle,17.2,17.5,1
Customer,0001.,neutral,falling,middle,17.5,18.1,1
Agent,Saya konfirmasi ya Ibu?,neutral,rising,middle,18.1,19.2,1
Customer,He'eh.,neutral,falling,middle,19.2,19.6,1
Agent,3323 0423 0199 0001.,neutral,falling,middle,19.6,22.0,1
Customer,"Iya, betul.",neutral,falling,middle,22.0,22.8,1
Agent,"Saya lakukan pengecekan terlebih dahulu Ibu, mau ditunggu?",neutral,rising,middle,22.8,25.2,1
Customer,"Iya, boleh.",neutral,falling,middle,25.2,25.8,1
silence,,neutral,none,none,25.8,27.2,1
Customer,Ibu Nina sebelumnya eh untuk alasan pencairannya karena apa Ibu?,neutral,rising,middle,0.0,3.08,2
Customer,Ooh ya saya lagi butuh uang aja Mbak,neutral,normal,middle,3.08,5.32,2
