speaker,transcript,sentiment,intonation,pitch range,start_time,end_time,chunk
Agent,"Selamat hari dengan Naira, bagaimana saya bisa membantu?",neutral,falling,middle,0.0,2.2,1
Customer,Selamat sore Mbak Naira.,neutral,falling,middle,2.2,3.3,1
Agent,Selamat sore dengan Ibu. Siapa sebelumnya saat tadi bicara?,neutral,falling,middle,3.3,5.4,1
Customer,Saya Irma.,neutral,falling,middle,5.4,6.2,1
Agent,"Baik Ibu Irma, perhal apa yang bisa saya bantu Bu?",neutral,falling,middle,6.2,8.5,1
Customer,"Eh Mbak, saya mau ngajuin kenaikan limit dong.",neutral,falling,middle,8.5,11.5,1
Agent,"Baik, begitu ya.",neutral,falling,middle,11.5,12.6,1
Customer,Yang sementara aja ya Mbak.,neutral,falling,middle,12.6,14.8,1
Agent,Untuk sementara? Baik.,neutral,falling,middle,14.8,16.7,1
Agent,Untuk saat ini sebelumnya untuk dari kartu kredit Ibu limitnya berapa?,neutral,falling,middle,16.7,21.1,1
Customer,Eh nomor kartu saya ya Mbak?,neutral,rising,middle,21.1,23.5,1
Agent,Iya.,neutral,falling,middle,23.5,24.0,1
Customer,Di 5244.,neutral,falling,middle,24.0,25.8,1
Agent,Iya.,neutral,falling,middle,25.8,26.3,1
Customer,6218.,neutral,falling,middle,26.3,27.6,1
Agent,Iya.,neutral,falling,middle,27.6,28.1,1
Customer,1124.,neutral,falling,middle,28.1,29.4,1
Agent,Baik.,neutral,falling,middle,29.4,29.9,1
Customer,3453.,neutral,falling,middle,29.9,31.2,1
Agent,Baik.,neutral,falling,middle,31.2,31.8,1
Agent,"Baik Ibu, untuk dari limit kartu kredit Ibu saat ini, itu di nominal berapa Bu?",neutral,falling,middle,31.8,37.4,1
Customer,"Eh, mohon verifikasi dulu Mbak.",neutral,rising,middle,37.4,39.8,1
Agent,"Iya, mohon maaf ya Bu ya. Baik ini untuk proses buka data saya akan nalikan Ibu Irma ke sistem untuk verifikasi PIN kartu ATM, nanti",neutral,falling,middle,39.8,48.6,1
Customer,Silakan Ibu tekan PIN kemudian diakhiri dengan tanda pagar.,neutral,normal,middle,0.0,2.6,2
Agent,Saya alihkan ya Bu.,neutral,normal,middle,2.6,3.5,2
silence,,neutral,none,none,3.5,3.8,2
Agent,"Baik terima kasih Bu, gimana untuk verifikasi datanya sudah sesuai ya?",neutral,normal,middle,3.8,6.9,2
Customer,Heeh.,neutral,normal,middle,6.9,7.4,2
Agent,Baik. Terkait dari hal saya cek di sini untuk dari informasi limitnya di angka 1 juta betul ya Bu ya?,neutral,normal,middle,7.4,13.5,2
Customer,Iya limit saya eh yang sekarang itu di 100 juta Mbak.,neutral,normal,middle,13.5,18.3,2
