speaker,transcript,sentiment,intonation,pitch range,start_time,end_time,chunk
silence,,neutral,none,none,0.0,0.8,1
Agent,"Selamat sore dengan Naira, bagaimana saya bisa membantu?",neutral,rising,middle,0.8,3.2,1
silence,,neutral,none,none,3.2,3.5,1
Customer,Sore Mbak Naira,neutral,falling,middle,3.5,4.3,1
silence,,neutral,none,none,4.3,4.5,1
Agent,Sore dengan Ibu siapa silakan sebutkan,neutral,rising,middle,4.5,6.4,1
silence,,neutral,none,none,6.4,6.8,1
Customer,Ee Intan,neutral,falling,middle,6.8,7.5,1
silence,,neutral,none,none,7.5,7.8,1
Agent,"Baik Ibu Intan,  perkara apa yang bisa saya bantu?",neutral,rising,middle,7.8,10.5,1
silence,,neutral,none,none,10.5,10.9,1
Customer,Ee Mbak saya mau batalin itu asuransi kartu kredit itu loh yang apa ya namanya ya?,neutral,rising,middle,10.9,17.1,1
silence,,neutral,none,none,17.1,17.5,1
Agent,Hmm Kredit Protekto,neutral,falling,middle,17.5,19.1,1
silence,,neutral,none,none,19.1,19.4,1
Customer,"Kredit Protekto ya, baik. Sebelumnya untuk dari alasan pembatalannya dikarnakan apa Bu?",neutral,rising,middle,19.4,25.3,1
silence,,neutral,none,none,25.3,25.7,1
Customer,"Ya kayaknya saya enggak butuh deh Mbak, saya sudah ada sih asuransi lain",neutral,falling,middle,25.7,30.4,1
silence,,neutral,none,none,30.4,30.8,1
Agent,"Baik, untuk prosesnya Ibu boleh sebutkan Ibu nomor kartu kreditnya",neutral,rising,middle,30.8,35.0,1
silence,,neutral,none,none,35.0,35.4,1
Customer,6336,neutral,falling,middle,35.4,36.4,1
silence,,neutral,none,none,36.4,36.7,1
Agent,Iya,neutral,falling,middle,36.7,37.1,1
Customer,9334,neutral,falling,middle,37.1,38.1,1
silence,,neutral,none,none,38.1,38.4,1
Agent,Baik,neutral,falling,middle,38.4,39.0,1
Customer,4789,neutral,falling,middle,39.0,40.0,1
silence,,neutral,none,none,40.0,40.3,1
Agent,Iya,neutral,falling,middle,40.3,40.7,1
Customer,1456,neutral,falling,middle,40.7,41.6,1
silence,,neutral,none,none,41.6,41.9,1
Agent,1456,neutral,falling,middle,41.9,42.7,1
silence,,neutral,none,none,42.7,43.0,1
Customer,Iya,neutral,falling,middle,43.0,43.5,1
silence,,neutral,none,none,43.5,43.8,1
Agent,"Baik Ibu, untuk prosesnya sebelumnya ini saya akan alihkan ke sistem terlebih dahulu ya untuk verifikasi PIN kartu ATM, nanti silakan Ibu Intan tekan nomor digit PIN kartu ATM setelah terdengar instruksi",neutral,rising,middle,43.8,54.5,1
silence,,neutral,none,none,54.5,54.9,1
Customer,Ooh bukan kartu,neutral,falling,middle,54.9,56.6,1
Customer,"Mohon maaf ya Mbak, ini saya mau kredit protektor ini kartu kredit saya Mbak.",neutral,normal,middle,0.0,3.0,2
Agent,"Iya. Kartu kredit. Mohon maaf Ibu, saya bantu konfirmasi kembali ya. Saya akan analisa Ibu. Silakan nanti tekan PIN kartu kreditnya, kemudian diakhiri dengan tanda pagar ya Bu.",neutral,normal,middle,3.0,9.7,2
Customer,Oke.,neutral,normal,middle,9.7,10.4,2
Agent,Baik. Saya analisa.,neutral,normal,middle,10.4,11.5,2
silence,,neutral,none,none,11.5,12.6,2
