speaker,transcript,sentiment,intonation,pitch range,start_time,end_time,chunk
silence,,neutral,none,none,0.0,0.8,1
Agent,Selamat sore dengan Fanya bagaimana saya bisa membantu?,neutral,rising,middle,0.8,2.9,1
silence,,neutral,none,none,2.9,3.5,1
Customer,Halo selamat sore Mbak Fanya,neutral,falling,middle,3.5,5.2,1
Agent,Iya dengan Bapak siapa saya berbicara?,neutral,rising,middle,5.2,6.8,1
Customer,Saya Martupa,neutral,falling,middle,6.8,7.8,1
Agent,Bapak Martupa perihal akan bisa dibantu?,neutral,rising,middle,7.8,9.6,1
Customer,Eh gini Mbak itu ada transaksi nominalnya Rp24.500.750 Mbak itu bukan transaksi saya saya mau sanggah dong,negative,falling,middle,9.6,18.3,1
Agent,Baik Bapak Martupa untuk nomor kartu kreditnya boleh tolong disebutkan?,neutral,rising,middle,18.3,22.4,1
Customer,5244,neutral,falling,middle,22.4,23.7,1
Agent,Iya,neutral,falling,middle,23.7,24.2,1
Customer,2600,neutral,falling,middle,24.2,25.1,1
Agent,Iya,neutral,falling,middle,25.1,25.6,1
Customer,5160,neutral,falling,middle,25.6,26.5,1
Agent,Iya,neutral,falling,middle,26.5,27.0,1
Customer,9332,neutral,falling,middle,27.0,28.0,1
Agent,Terima kasih kartu kreditnya ini apakah sudah dilakukan pemblokiran Pak?,neutral,rising,middle,28.0,31.8,1
Customer,Hmm belum,neutral,falling,middle,31.8,33.3,1
Agent,Baik untuk selanjutnya akan kami lakukan pemblokiran kartu kredit terlebih dahulu ya Pak mau ditunggu sebentar?,neutral,rising,middle,33.3,41.3,1
Customer,Heeh,neutral,falling,middle,41.3,42.1,1
silence,,neutral,none,none,42.1,48.2,1
Agent,Terima kasih Bapak Martupa atas kesabaran yang menunggu saya konfirmasi pada hari ini tanggal 28 Januari 2025 untuk kartu kredit Bapak,neutral,falling,middle,48.2,57.7,1
Agent,Kartu Bapak sudah berhasil dilakukan pemblokiran.,neutral,normal,middle,0.0,1.4,2
Customer,Itu kartu debit saya Mbak.,neutral,normal,middle,1.4,2.2,2
Agent,"Mohon maaf, di sini kartu debit ya?",neutral,normal,middle,2.2,3.0,2
Customer,Iya benar.,neutral,normal,middle,3.0,3.5,2
Agent,Oh baik.,neutral,normal,middle,3.5,3.9,2
Agent,Untuk kartu debit Bapak di sini sudah di berhasil dilakukan pemblokiran.,neutral,normal,middle,3.9,6.1,2
Agent,Kemudian untuk pembukaan data saya bantu verifikasi PIN terlebih dahulu ya Pak.,neutral,normal,middle,6.1,8.7,2
Customer,Heeh.,neutral,normal,middle,8.7,9.0,2
Agent,Nanti setelah terdengar instruksi mau dimasukkan enam PIN-nya di akhir dengan tanda pagar.,neutral,normal,middle,9.0,12.0,2
Customer,Heeh.,neutral,normal,middle,12.0,12.3,2
Agent,Saya alihkan.,neutral,normal,middle,12.3,13.0,2
silence,,neutral,none,none,13.0,13.6,2
Agent,Anda masukkan benar.,neutral,normal,middle,13.6,14.5,2
silence,,neutral,none,none,14.5,15.1,2
Agent,Terima kasih Bapak Martupa untuk PIN-nya sudah benar.,positive,normal,middle,15.1,17.8,2
silence,,neutral,none,none,17.8,18.4,2
Agent,Baik Bapak Martupa untuk transaksi dengan nominal yang Bapak sebutkan di sini,neutral,normal,middle,18.4,21.4,2
Customer,Rp4.500.750 Mbak.,neutral,normal,middle,21.4,23.4,2
Agent,Baik.,neutral,normal,middle,23.4,23.8,2
Customer,Itu bukan transaksi saya.,negative,normal,middle,23.8,25.4,2
Agent,"Baik, apabila seperti itu kami bantu buatkan laporan sanggah transaksi terlebih dahulu ya.",neutral,normal,middle,25.4,29.1,2
Customer,Heeh.,neutral,normal,middle,29.1,29.4,2
Agent,Mohon ditunggu sebentar.,neutral,normal,middle,29.4,30.5,2
Customer,Oke.,neutral,normal,middle,30.5,30.9,2
silence,,neutral,none,none,30.9,31.5,2
Customer,"Halo, saya mau melakukan pembayaran tagihan",neutral,normal,middle,0.0,2.03,3
Agent,"Baik, Bapak/Ibu, silakan sebutkan nama dan nomor tagihan yang ingin dibayarkan",neutral,normal,middle,2.03,4.76,3
Customer,"Nama saya Martupa, nomor tagihannya 1234567890",neutral,normal,middle,4.76,7.84,3
Agent,"Baik, Bapak Martupa, terima kasih. Sebentar saya menunggu. Untuk pembuatan laporan sanggah transaksi sudah berhasil dilakukan. Ada lagi yang bisa dibantu?",positive,normal,middle,7.84,15.02,3
Customer,"Sudah, itu saja, ndak",neutral,normal,middle,15.02,17.1,3
Agent,"Baik, jika seperti itu, terima kasih Bapak Martupa telah menghubungi Si Ayam Binaga. Selamat sore, sehat selalu.",positive,normal,middle,17.1,22.95,3
Customer,"Oke, thank you",positive,normal,middle,22.95,24.87,3
silence,,neutral,none,none,24.87,25.98,3
