speaker,transcript,sentiment,intonation,pitch range,start_time,end_time,chunk
silence,,neutral,none,none,0.0,0.5,1
Customer,Selamat sore Mbak,neutral,falling,middle,0.5,1.2,1
Agent,Iya dengan Bapak siapa saya berbicara?,neutral,rising,middle,1.2,2.1,1
Customer,Saya Martu Pak,neutral,falling,middle,2.1,2.6,1
Agent,"Bapak Martu Pak, perlu apa yang bisa dibantu?",neutral,rising,middle,2.6,3.6,1
Customer,"Eh ini lho Mbak kenapa ya saya itu mau komplain ya Mbak ya, saya itu mau komplain kenapa saya enggak tidak eh tidak terima PIN kartu kredit ya melalui SMS",negative,falling,middle,3.6,9.1,1
Agent,Baik Bapak Martu Pak sebelumnya boleh disebutkan nomor kartu kreditnya?,neutral,rising,middle,9.1,11.2,1
Customer,5336,neutral,falling,middle,11.2,11.7,1
Agent,Iya,neutral,falling,middle,11.7,11.9,1
Customer,9516,neutral,falling,middle,11.9,12.4,1
Agent,Iya,neutral,falling,middle,12.4,12.6,1
Customer,3214,neutral,falling,middle,12.6,13.1,1
Agent,Iya,neutral,falling,middle,13.1,13.3,1
Customer,7897,neutral,falling,middle,13.3,13.8,1
Agent,"Terima kasih Bapak Martu Pak, untuk permintaan PIN melalui SMS format yang Bapak masukkan apakah sudah benar?",neutral,rising,middle,13.8,17.4,1
Customer,Mm sudah Mbak yang ketiga PIN itu ya kan Mbak PIN spasi 4 digit terakhir nomor kartu kredit setelah itu tanggal lahir kan?,neutral,falling,middle,17.4,22.9,1
Agent,"Iya untuk pengisian tanggal lahirnya dipastikan benar ya Pak ya dengan format penulisan tanggal lahirnya itu dua angka tanggal, dua angka bulan dan empat angka tahun. Apakah sudah sesuai Bapak?",neutral,rising,middle,22.9,29.5,1
Customer,Iya,neutral,falling,middle,29.5,29.8,1
Customer,"Sudah, sudah.",neutral,falling,middle,0.0,0.8,2
silence,,neutral,none,none,0.8,1.0,2
Agent,"Baik, kemudian untuk pengiriman",neutral,falling,middle,1.0,2.0,2
Agent,format SMS-nya itu wajib menggunakan nomor handphone yang terdaftar di bank.,neutral,falling,middle,2.0,4.1,2
Customer,"Oh, oh gitu.",neutral,falling,middle,4.1,5.0,2
Agent,Iya betul.,neutral,falling,middle,5.0,5.5,2
Customer,"Hmm, ya, soalnya tadi Mbak, nomor telepon itu dia belum ada pulsa-nya. Ya udah, Mbak, nanti ya",neutral,falling,middle,5.5,8.2,2
Customer,"eh, nanti aku coba dari situ aja deh.",neutral,falling,middle,8.2,9.6,2
Agent,"Iya betul, nanti dipastikan eh pulsanya tersedia ya Pak ya.",neutral,falling,middle,9.6,11.8,2
Customer,Oke.,neutral,falling,middle,11.8,12.2,2
Customer,"Nanti dikirimnya ke mana, Mbak, SMS-nya?",neutral,rising,middle,12.2,14.1,2
Agent,Dikirimnya ke nomor 81418.,neutral,falling,middle,14.1,15.8,2
Customer,"Hmm, oke oke oke.",neutral,falling,middle,15.8,17.1,2
Customer,"Terus, Mbak, aku mau nanya dong eh benar enggak sih transaksi saya itu Rp4.356.000 di Tokopedia",neutral,rising,middle,17.1,22.2,2
Agent,"Iya, benar. Untuk hal tersebut",neutral,falling,middle,22.2,24.2,2
Agent,Heeh.,neutral,falling,middle,24.2,24.6,2
Agent,Rp4.356.000.,neutral,falling,middle,24.6,26.3,2
Agent,"Sudah benar, Bapak.",neutral,falling,middle,26.3,27.7,2
Customer,"Hmm, itu berarti benar ya, Mbak, sesuai dengan itu kan?",neutral,rising,middle,27.7,30.4,2
Agent,Iya.,neutral,falling,middle,30.4,30.9,2
Customer,Oh.,neutral,falling,middle,30.9,31.4,2
Customer,"Ya udah, Mbak. Mbak, aku mau nanya deh itu kan transaksi saya kan",neutral,rising,middle,31.4,34.7,2
Agent,"Iya, jangan.",neutral,falling,middle,34.7,35.7,2
Customer,4.356.000,neutral,none,none,0.0,0.6,3
silence,,neutral,none,none,0.6,0.8,3
Customer,Nah kalau saya mau daftar kredit protektor Mbak?,neutral,rising,middle,0.8,2.1,3
Agent,Untuk pendaftaran kredit protektor nanti bisa dilakukan Bapak ketika Bapak sudah memiliki PIN permanen,neutral,falling,middle,2.1,4.4,3
Customer,Daftarnya gimana?,neutral,rising,middle,4.4,5.0,3
