speaker,transcript,sentiment,intonation,pitch range,start_time,end_time,chunk
Customer,Panggilan bagaimana saya bisa membantu?,neutral,rising,middle,0.0,1.25,1
Agent,Mmm halo selamat sore Mbak,neutral,falling,middle,1.25,2.32,1
Customer,Iya dengan Bapak siapa saya berbicara?,neutral,rising,middle,2.32,3.29,1
Agent,Saya Martupa,neutral,falling,middle,3.29,3.86,1
Customer,"Bapak Martupa, prihal apa yang bisa dibantu?",neutral,rising,middle,3.86,5.05,1
Agent,Eh saya mau blokir kartu debit saya Mbak,neutral,falling,middle,5.05,6.14,1
Customer,"Baik, nomor ATM-nya boleh disebutkan Bapak Martupa?",neutral,rising,middle,6.14,7.36,1
Agent,Eh 5336,neutral,falling,middle,7.36,7.95,1
Customer,Iya,neutral,falling,middle,7.95,8.11,1
Agent,4000,neutral,falling,middle,8.11,8.54,1
Customer,Iya,neutral,falling,middle,8.54,8.7,1
Agent,1224,neutral,falling,middle,8.7,9.18,1
Customer,Iya,neutral,falling,middle,9.18,9.34,1
Agent,1995,neutral,falling,middle,9.34,9.83,1
Customer,Iya,neutral,falling,middle,9.83,10.0,1
Customer,Terima kasih Bapak Martupa,positive,falling,middle,10.0,10.85,1
Agent,Heem,neutral,falling,middle,10.85,11.18,1
Customer,Diblokir dikarenakan apa Pak?,neutral,rising,middle,11.18,12.12,1
Agent,Oh iya Mbak itu kartu-kartu saya itu hilang Mbak,neutral,falling,middle,12.12,13.42,1
Customer,"Kartunya hilang, baik",neutral,falling,middle,13.42,14.09,1
Agent,Heem,neutral,falling,middle,14.09,14.43,1
Customer,Untuk kartu kreditnya sudah di lengkapi dengan PIN?,neutral,rising,middle,14.43,15.71,1
Agent,Eh kartu saya,neutral,falling,middle,15.71,16.22,1
Customer,Iya,neutral,falling,middle,16.22,16.38,1
Agent,Eh Mbak boleh langsung eh kalau untuk PIN ada,neutral,falling,middle,16.38,17.55,1
Customer,Baik,neutral,falling,middle,17.55,17.71,1
Agent,Saya bantu untuk verifikasi PIN terlebih dahulu nanti,neutral,falling,middle,17.71,18.78,1
Customer,Apakah ini bisa dimasukkan nanti ya?,neutral,rising,middle,0.0,1.4,2
Agent,Heeh,neutral,normal,middle,1.4,1.8,2
silence,,neutral,none,none,1.8,2.6,2
Customer,Saya alihkan,neutral,normal,middle,2.6,3.2,2
Agent,Bisa dimasukkan benar,neutral,normal,middle,3.2,3.9,2
Customer,Terima kasih Bapak Martupa untuk pin-nya sudah benar,positive,falling,middle,3.9,5.9,2
Agent,Heeh,neutral,normal,middle,5.9,6.3,2
silence,,neutral,none,none,6.3,6.8,2
Customer,Saya konfirmasi untuk kartu kredit-nya sudah berhasil diblokir ya Pak?,neutral,rising,middle,6.8,9.0,2
Agent,Kartu debit saya ya Pak ya,neutral,normal,middle,9.0,9.9,2
Customer,Mohon maaf saya ralat untuk kartu debit-nya sudah berhasil diblokir,neutral,normal,middle,9.9,12.2,2
silence,,neutral,none,none,12.2,12.6,2
Agent,"Oke, eh itu Mbak aku mau nanya transaksiku itu kan eh terakhir kali itu saya blokir sebelum eh sebelum hilang itu Mbak itu nominal transaksi saya itu di eh Mall Robinson itu Rp3.467.750 itu benar enggak Mbak transaksi saya terakhir?",neutral,rising,middle,12.6,22.3,2
