speaker,transcript,sentiment,intonation,pitch range,start_time,end_time,chunk
Agent,"Selamat sore, dan cik, bagaimana saya bisa membantu?",neutral,falling,middle,0.0,1.7,1
Customer,"Selamat sore, Ibu. Ada yang bisa saya bantu?",neutral,falling,middle,1.7,3.5,1
Agent,"Iya, iya, Mbak. Jadi kemarin saya sudah mentransfer dana ke rekening saya sendiri, nomor rekeningnya 24.500.000.000. Terus saya langsung di-debet, tapi kenapa saldo saya kosong ya?",neutral,falling,middle,3.5,13.7,1
Customer,"Saya sudah bayar pakai kartu, pakai kartu dari bank lain",neutral,falling,middle,13.7,17.3,1
Agent,"Baik. Untuk mengecekkan, mohon maaf dengan Ibu, siapa saya berbicara?",neutral,falling,middle,17.3,20.6,1
Customer,"Buka ya, Mbak",neutral,falling,middle,20.6,22.3,1
Agent,Bukanya bisa tolong sebutkan nomor kartu ATM atau rekening tabungan?,neutral,falling,middle,22.3,26.5,1
Customer,Nomor kartu saya 5249,neutral,falling,middle,26.5,29.2,1
Agent,Iya,neutral,falling,middle,29.2,29.8,1
Customer,6008,neutral,falling,middle,29.8,31.2,1
Agent,Iya,neutral,falling,middle,31.2,31.8,1
Customer,1100,neutral,falling,middle,31.8,33.1,1
Agent,Iya,neutral,falling,middle,33.1,33.7,1
Customer,Dan nilainya 26,neutral,falling,middle,33.7,36.2,1
Agent,"Apakah masih ingat dengan PIN ATM-nya, Bu?",neutral,falling,middle,36.2,39.7,1
silence,,neutral,none,none,39.7,40.9,1
Agent,"Baik, saya akan alihkan ke sistem untuk verifikasi PIN. Silahkan tekan enam digit PIN kartu ATM",neutral,falling,middle,40.9,48.3,1
Customer,dan diakhiri dengan tanda pagar setelah instruksi ya Bu,neutral,falling,middle,0.0,2.22,2
Agent,Terima kasih untuk pinnya sudah sesuai Saya lakukan pengecekan terlebih dahulu Mohon ditunggu ya Bu,positive,falling,middle,2.22,7.03,2
silence,,neutral,none,none,7.03,8.22,2
Customer,Hm,neutral,falling,middle,8.22,8.42,2
silence,,neutral,none,none,8.42,9.57,2
Customer,Ini tadi kan saya kan sudah bayar ya Bu,neutral,falling,middle,9.57,12.24,2
Agent,Iya tadi sudah saya cek Tapi mungkin ada gangguan dari jaringan atau dari sistem Jadi harus diblokir kalau ini kan tadi eh sudah saya cek tapi belum masuk ke sistem,neutral,falling,middle,12.24,21.16,2
Customer,Ibu kan ya,neutral,falling,middle,21.16,22.02,2
Agent,Saya akan buat kan laporan nya terlebih dahulu Saya tanyakan untuk transaksinya di tanggal berapa Ibu,neutral,falling,middle,22.02,27.74,2
Customer,Transaksinya kemarin ya tanggal 25 Januari 2023,neutral,falling,middle,27.74,34.28,2
Agent,Transaksi di tanggal di jam berapa,neutral,falling,middle,34.28,37.26,2
Customer,Eh kurang,neutral,falling,middle,37.26,38.52,2
Agent,Untuk nominal transaksinya sesuai yang Ibu sebutkan tadi ya 24.500 24.500.750.,neutral,falling,middle,0.0,4.8,3
Customer,"Iya, betul.",neutral,falling,middle,4.8,5.6,3
Agent,Untuk transaksinya menggunakan fisik kartu atau menggunakan Otomobel Bu?,neutral,falling,middle,5.6,9.4,3
Customer,Dari Otomobel.,neutral,falling,middle,9.4,10.8,3
Agent,Menggunakan menu apa Ibu?,neutral,falling,middle,10.8,12.2,3
Customer,Saya pakai BCA.,neutral,falling,middle,12.2,13.4,3
Agent,Baik.,neutral,falling,middle,13.4,14.0,3
Agent,Keterangan yang muncul di Otomobelnya?,neutral,falling,middle,14.0,17.0,3
Customer,Gagal transaksi.,negative,falling,middle,17.0,19.0,3
Agent,Baik.,neutral,falling,middle,19.0,19.6,3
Agent,"Saya buatkan laporannya terlebih dahulu, mohon ditunggu ya Bu?",neutral,falling,middle,19.6,24.4,3
Customer,"Iya, iya.",neutral,falling,middle,24.4,25.8,3
silence,,neutral,none,none,25.8,35.0,3
Agent,Dibukanya.,neutral,falling,middle,35.0,36.4,3
silence,,neutral,none,none,36.4,39.4,3
Agent,"Terima kasih telah bersabar menunggu, saya konfirmasi hari ini 8 Januari 2025 dengan detik-detik komplain Ibu mengenai gagal transaksi kami proses dengan nomor pelaporan",neutral,falling,middle,39.4,54.2,3
Agent,Charlie Bravo Delta India Sierra 0801,neutral,normal,middle,0.0,1.25,4
Agent,2500,neutral,normal,middle,1.25,1.75,4
Agent,1234,neutral,normal,middle,1.75,2.28,4
Agent,Laporan tersebut membutuhkan penanganan hingga 9 Januari 2025,neutral,normal,middle,2.28,4.37,4
Agent,Untuk pengecekan laporannya bisa melalui layanan WhatsApp Simb Niaga di nomor 081197814041,neutral,normal,middle,4.37,7.68,4
Agent,Cukup menyebutkan nama lengkap dan juga nomor pelaporan,neutral,normal,middle,7.68,9.68,4
Agent,Untuk nomor laporannya sudah kami kirimkan melalui SMS ke nomor handphone yang terdaftar di bank ya Bu,neutral,normal,middle,9.68,13.0,4
silence,,neutral,none,none,13.0,13.5,4
Customer,Sudah sudah,neutral,falling,middle,13.5,14.0,4
Agent,"Baik terima kasih Ibu, kan ya telah menghubungi Simb Niaga selamat sore selamat beraktivitas kembali Bu",positive,falling,middle,14.0,17.75,4
silence,,neutral,none,none,17.75,18.0,4
Customer,P,neutral,falling,middle,18.0,18.25,4
