speaker,transcript,sentiment,intonation,pitch range,start_time,end_time,chunk
Agent,"Selamat sore dengan Cita, bagaimana saya bisa membantu?",neutral,falling,middle,0.0,2.34,1
Customer,"Selamat sore Bu, ada yang bisa saya bantu?",neutral,falling,middle,2.34,4.11,1
silence,,neutral,none,none,4.11,4.7,1
Customer,Iya saya mau saya ingin Ibu tolong saya dong,neutral,falling,middle,4.7,7.49,1
Agent,"Baik, dengan Ibu siapa saya berbicara?",neutral,falling,middle,7.49,9.14,1
Customer,Ibu Kanya,neutral,falling,middle,9.14,9.74,1
Agent,"Ibu Kanya, apakah tidak sayang untuk pencairan deposito-nya?",neutral,rising,middle,9.74,12.57,1
Customer,"Iya, karena saya lagi butuh uang",neutral,falling,middle,12.57,14.47,1
Agent,"Baik, apa bila eh pencairan deposito sebelum tanggal jatuh tempo, maka nanti akan ada pembebanan biaya penalti serta bunga berjalan tidak dibayarkan ya Bu. Apakah tidak sayang?",neutral,falling,middle,14.47,21.48,1
Customer,"Iya, tapi kalau memang saya lagi butuh uang ya mau gimana lagi?",neutral,falling,middle,21.48,25.16,1
Agent,"Baik, untuk nominal pencairannya di nominal berapa Ibu?",neutral,falling,middle,25.16,27.47,1
Customer,"Eh deposito awal itu kemarin 15 juta, eh 15 juta eh 750 ya?",neutral,falling,middle,27.47,32.39,1
Agent,Iya.,neutral,normal,middle,32.39,32.85,1
Agent,Baik.,neutral,falling,middle,32.85,33.58,1
Agent,Untuk alasan ingin dilakukan pencairan eh lebih cepat dari tanggal jatuh temponya karena apa Ibu?,neutral,falling,middle,33.58,38.55,1
Customer,Karena ada kebutuhan yang mendesak,neutral,falling,middle,38.55,41.07,1
Agent,Saya akan pengecekan lebih lanjut Untuk nomor kartu kredit nomor kartu ATM atau rekening tabungannya bisa disebutkan,neutral,normal,middle,0.0,4.04,2
Customer,Nomor kartu ATM ya,neutral,rising,middle,4.04,4.72,2
Agent,Iya,neutral,normal,middle,4.72,4.92,2
Customer,Ee 3923,neutral,normal,middle,4.92,5.56,2
Agent,Iya,neutral,normal,middle,5.56,5.76,2
Customer,0423,neutral,normal,middle,5.76,6.2,2
Agent,Iya,neutral,normal,middle,6.2,6.4,2
Customer,0199,neutral,normal,middle,6.4,6.84,2
Agent,Iya,neutral,normal,middle,6.84,7.04,2
