speaker,transcript,sentiment,intonation,pitch range,start_time,end_time,chunk
Agent,Selamat sore dengan Kita bagaimana saya bisa membantu,neutral,normal,middle,0.0,1.66,1
silence,,neutral,none,none,1.66,2.18,1
Customer,Selamat sore Ibu ada yang bisa saya bantu,neutral,normal,middle,2.18,3.08,1
silence,,neutral,none,none,3.08,3.48,1
Customer,Iya saya sudah mau mengajukan kenaikan limit sementara dong,neutral,normal,middle,3.48,5.12,1
Agent,Baik dengan Ibu siapa saya berbicara,neutral,normal,middle,5.12,5.94,1
silence,,neutral,none,none,5.94,6.44,1
Customer,Saya akan mengajukan,neutral,normal,middle,6.44,7.0,1
Agent,Ibu kan ya untuk pengajuan kenaikan limit sementara bisa tolong sebutkan nomor kartunya terlebih dahulu,neutral,normal,middle,7.0,9.64,1
silence,,neutral,none,none,9.64,10.12,1
Customer,Nomor kartu saya 5246,neutral,normal,middle,10.12,10.84,1
Agent,Iya,neutral,normal,middle,10.84,11.02,1
Customer,6118,neutral,normal,middle,11.02,11.4,1
Agent,Iya,neutral,normal,middle,11.4,11.58,1
Customer,1124,neutral,normal,middle,11.58,12.04,1
Agent,Iya,neutral,normal,middle,12.04,12.2,1
Customer,3456,neutral,normal,middle,12.2,12.6,1
Agent,Baik,neutral,normal,middle,12.6,12.82,1
silence,,neutral,none,none,12.82,13.34,1
Agent,Apakah kartunya sudah dilengkapi dengan PIN,neutral,normal,middle,13.34,14.32,1
silence,,neutral,none,none,14.32,14.82,1
Customer,Sudah sudah,neutral,normal,middle,14.82,15.2,1
Agent,Jika sudah saya akan alihkan Ibu ke sistem untuk verifikasi PIN terlebih dahulu silakan tekan enam digit PIN diakhiri dengan tanda pagar setelah instruksi ya Bu,neutral,normal,middle,15.2,20.02,1
Agent,Saya alihkan,neutral,normal,middle,20.02,20.64,1
silence,,neutral,none,none,20.64,22.04,1
Agent,Terima kasih Bu untuk PIN-nya sudah sesuai,positive,normal,middle,22.04,23.28,1
silence,,neutral,none,none,23.28,23.84,1
Agent,Kenaikan limit sementaranya sendiri Bu ini maksimal,neutral,normal,middle,23.84,25.5,1
Agent,maksimal di 50% dari total limit eh yang diberikan oleh pihak bank Apakah berkenan,neutral,falling,middle,0.0,2.34,2
Customer,Iya Pak,positive,normal,middle,2.34,2.65,2
Agent,Baik Kemudian untuk kebutuhannya sendiri akan digunakan keperluan apa Ibu,neutral,falling,middle,2.65,4.56,2
Customer,Untuk keluar negeri,neutral,normal,middle,4.56,5.12,2
Agent,Baik,neutral,normal,middle,5.12,5.38,2
Customer,Eh kalau limit akun sekarang ini kan 35 juta 500.650.000 eh nanti cicilannya berapa ya Pak,neutral,rising,middle,5.38,10.34,2
Agent,Baik Di 35 juta,neutral,falling,middle,10.34,11.78,2
Customer,500,neutral,normal,middle,11.78,12.09,2
Agent,500,neutral,normal,middle,12.09,12.36,2
Customer,650.000,neutral,normal,middle,12.36,13.06,2
Agent,Untuk kenaikan limit sementara yang akan Ibu terima di 17 juta 750.325,neutral,falling,middle,13.06,16.53,2
Customer,Oh iya Pak,positive,normal,middle,16.53,16.96,2
Agent,Untuk kenaikan limit sementara berlaku di 2 bulan Ingin dimaksimalkan 2 bulan Ibu,neutral,falling,middle,16.96,20.01,2
