speaker,transcript,sentiment,intonation,pitch range,start_time,end_time,chunk
Agent,Selamat sore dengan Cita bagaimana saya bisa membantu,neutral,normal,middle,0.0,1.46,1
Customer,"Selamat sore Mbak, saya mau berbelanja online",neutral,normal,middle,1.46,3.12,1
Agent,Selamat sore Ibu ada yang bisa dibantu,neutral,normal,middle,3.12,4.04,1
Customer,Saya mau berbelanja online,neutral,normal,middle,4.04,4.96,1
Agent,Baik dengan Ibu siapa saya berbicara,neutral,normal,middle,4.96,5.96,1
Customer,"Saya, [unclear]",neutral,normal,middle,5.96,6.6,1
Agent,Ibu [unclear] untuk melakukan penutupan kartu bisa disebutkan nomor kartu kreditnya,neutral,normal,middle,6.6,9.0,1
Customer,Nomor kreditnya 5643 44,neutral,normal,middle,9.0,10.52,1
Agent,Iya,neutral,normal,middle,10.52,10.76,1
Customer,5643,neutral,normal,middle,10.76,11.2,1
Agent,Iya,neutral,normal,middle,11.2,11.44,1
Customer,1000 00,neutral,normal,middle,11.44,12.12,1
Agent,Iya,neutral,normal,middle,12.12,12.36,1
Customer,44 44,neutral,normal,middle,12.36,12.8,1
Agent,Baik apakah kartu Ibu sudah dilengkapi dengan PIN,neutral,normal,middle,12.8,14.4,1
Customer,Sudah Mbak,neutral,normal,middle,14.4,15.0,1
Agent,Jika sudah saya akan alihkan ke sistem untuk verifikasi PIN silakan tekan enam digit PIN kartu diakhiri dengan tanda pagar setelah instruksi ya Bu,neutral,normal,middle,15.0,20.0,1
Customer,Iya,neutral,normal,middle,20.0,20.24,1
Agent,Saya alihkan,neutral,normal,middle,20.24,20.8,1
silence,,neutral,none,none,20.8,28.4,1
Agent,"Terima kasih Bu, karena untuk PIN-nya sudah sesuai silakan pengacakan terlebih dahulu untuk proses penutupan kartunya ya Bu",neutral,normal,middle,28.4,34.16,1
Customer,Iya,neutral,normal,middle,34.16,34.4,1
Customer,"Ibu, kan?",neutral,rising,middle,0.0,0.4,2
Agent,Setelah saya akan penutup eh setelah setelah saya akan pengecekan untuk penutupan kartunya ini belum bisa kami proses,neutral,normal,middle,0.4,2.6,2
silence,,neutral,none,none,2.6,3.0,2
Customer,"Ini tetap normal aja, tapi nanti saya tulis surat nanti saya hubungi Excel lagi untuk konfirmasi",neutral,normal,middle,3.0,6.8,2
silence,,neutral,none,none,6.8,7.2,2
Customer,"Ibu, kan?",neutral,rising,middle,7.2,7.6,2
Agent,Setelah saya akan pengecekan untuk pembayaran tagihan Ibu ini melebihi dari tanggal jatuh tempo sehingga untuk di bulan di tagihan bulan berikutnya akan muncul denda keterlambatan beserta dengan bunga ya Bu,neutral,normal,middle,7.6,15.2,2
silence,,neutral,none,none,15.2,15.6,2
Customer,Jadi ini untuk penutupan kartu bisa dijalanin enggak?,neutral,rising,middle,15.6,18.2,2
Agent,Untuk penutupan kartu bisa kami proses Ibu,neutral,normal,middle,18.2,19.8,2
silence,,neutral,none,none,19.8,20.2,2
Customer,Oh iya,neutral,falling,middle,20.2,20.6,2
silence,,neutral,none,none,20.6,21.0,2
